model_file,model_id,f2_score,val_accuracy,val_precision,val_recall,train_accuracy,train_precision,train_recall,training_time,num_channels,config,data_mask,data_set
aggregate_model_20170511-150149.h5,JAGG_1,0.889,,,,0.951,0.903,0.795,0 days 00:07:02.069000000,4,,RGBN,data_set
aggregate_model_20170511-180931.h5,JAGG_1,0.896,,,,0.953,0.906,0.809,0 days 01:20:40.819000,3,,,data_set
aggregate_model_20170511-220711.h5,JAGG_1,0.894,,,,0.953,0.906,0.803,0 days 01:40:52.325000,4,,RGBN,data_set
aggregate_model_20170512-092940.h5,JAGG_1,0.885,,,,0.951,0.902,0.794,0 days 01:40:18.884000,4,,RGBN,data_set
aggregate_model_20170512-115655.h5,JAGG_1,0.889,,,,0.949,0.904,0.782,0 days 02:06:06.810000,4,,RGBN,data_set
aggregate_model_20170513-221253.h5,JAGG_2,0.901,,,,0.96,0.918,0.839,0 days 03:21:08.445000,3,,,data_set
aggregate_model_20170514-104741.h5,JAGG_2,0.901,,,,0.964,0.925,0.857,0 days 04:38:54.381000,4,,['R' 'G' 'B' 'NDVI'],data_set
aggregate_model_20170514-211423.h5,JAGG_2,0.822,,,,0.958,0.921,0.823,0 days 02:43:19.652000,1,,['NDWI'],data_set
aggregate_model_20170515-062741.h5,JAGG_2,0.878,,,,0.966,0.933,0.858,0 days 04:00:40.838000,3,,['R' 'NDVI' 'NDWI'],data_set
aggregate_model_20170515-221731.h5,JAGG_2,0.586,,,,0.954,0.909,0.806,0 days 01:35:28.702000,3,,['R' 'NDVI' 'NDWI'],data_set
aggregate_model_20170516-072247.h5,JAGG_2,0.0,,,,0.974,0.952,0.89,0 days 06:26:36.089000,3,,['R' 'NDVI' 'NDWI'],data_set
aggregate_model_20170516-224138.h5,JAGG_1,0.0,,,,0.954,0.909,0.807,0 days 04:54:40.578000,3,cfg/1.cfg,['R' 'G' 'B'],data_set
aggregate_model_20170517-033937.h5,JAGG_2,0.9,,,,0.957,0.911,0.826,0 days 02:40:09.636000,3,cfg/2.cfg,['R' 'G' 'B'],data_set
aggregate_model_20170517-062305.h5,JAGG_2,0.899,,,,0.959,0.916,0.831,0 days 02:56:01.632000,4,cfg/3.cfg,['R' 'G' 'B' 'NDWI'],data_set
aggregate_model_20170517-224214.h5,JAGG_3,0.895,,,,0.954,0.908,0.809,0 days 03:31:28.802000,3,cfg/4.cfg,['R' 'G' 'B'],data_set
aggregate_model_20170518-021650.h5,JAGG_1_1,0.897,,,,0.952,0.906,0.8,0 days 02:52:38.646000,3,cfg/5.cfg,['R' 'G' 'B'],data_set
aggregate_model_20170518-071943.h5,JAGG_1_1,0.898,0.956,0.92,0.808,0.953,0.914,0.8,0 days 03:09:54.993000,4,cfg/6.cfg,['R' 'G' 'B' 'NDVI'],train_set_dim64_rgb_ndvi_ndwi_nir
aggregate_model_20170518-103322.h5,JAGG_1_1,0.893,0.954,0.913,0.804,0.952,0.906,0.799,0 days 02:29:32.646000,4,cfg/7.cfg,['R' 'G' 'B' 'NDWI'],train_set_dim64_rgb_ndvi_ndwi_nir
aggregate_model_20170520-205229.h5,JAGG_2,0.89,0.951,0.916,0.779,0.949,0.901,0.786,0 days 01:13:23.999000,4,cfg/3.cfg,['R' 'G' 'B' 'NDWI'],train_set_dim64_rgb_ndvi_ndwi_nir
aggregate_model_20170521-114302.h5,JAGG_2,0.895,0.953,0.906,0.806,0.952,0.907,0.799,0 days 01:18:05.856000,4,cfg/8.cfg,['R' 'G' 'B' 'NDVI'],train_set_dim64_rgb_ndvi_ndwi_nir
aggregate_model_20170521-141533.h5,JAGG_2,0.91,0.959,0.916,0.831,0.959,0.913,0.835,0 days 04:33:19.279000,4,cfg/9.cfg,['R' 'G' 'B' 'NDVI'],train_set_dim128_rgb_ndvi_ndwi_nir
aggregate_model_20170523-222815.h5,JAGG_2_BN,0.902,0.956,0.909,0.821,0.955,0.912,0.812,0 days 11:40:28.652000,4,cfg/10.cfg,['R' 'G' 'B' 'NDVI'],train_set_dim64_rgb_ndvi_ndwi_nir
aggregate_model_20170524-221804.h5,JAGG_2,0.907,0.958,0.919,0.824,0.957,0.912,0.829,0 days 01:52:10.422000,4,cfg/11.cfg,['R' 'G' 'B' 'NDVI'],train_set_dim64_rgb_ndvi_ndwi_nir
aggregate_model_20170525-192717.h5,JAGG_2,0.902,0.956,0.909,0.821,0.954,0.907,0.81,0 days 01:07:24.424000,4,cfg/11.cfg,['R' 'G' 'B' 'NDVI'],train_set_dim64_rgb_ndvi_ndwi_nir
aggregate_model_20170526-000333.h5,JAGG_2,0.901,0.955,0.913,0.809,0.953,0.906,0.807,0 days 01:18:35.877000,4,cfg/13.cfg,['R' 'G' 'B' 'NDVI'],train_set_dim64_rgb_ndvi_ndwi_nir
aggregate_model_20170526-224243.h5,JAGG_2_D4X,0.896,0.953,0.92,0.793,0.954,0.901,0.816,0 days 01:19:08.949000,4,cfg/14.cfg,['R' 'G' 'B' 'NDVI'],train_set_dim64_rgb_ndvi_ndwi_nir
aggregate_model_20170527-101925.h5,JAGG_4,0.883,0.945,0.868,0.793,0.947,0.885,0.789,0 days 00:28:19.368000,3,cfg/15.cfg,['R' 'G' 'B'],train_set_dim64_rgb_ndvi_ndwi_nir
aggregate_model_20170527-110607.h5,JAGG_4,0.898,0.953,0.897,0.814,0.954,0.897,0.819,0 days 01:04:41.341000,3,cfg/16.cfg,['R' 'G' 'B'],train_set_dim64_rgb_ndvi_ndwi_nir
aggregate_model_20170527-225444.h5,JAGG_4,0.896,0.953,0.894,0.816,0.956,0.902,0.828,0 days 01:01:41.265000,4,cfg/17.cfg,['R' 'G' 'B' 'NDVI'],train_set_dim64_rgb_ndvi_ndwi_nir
aggregate_model_20170528-213414.h5,JAGG_2,0.904,0.954,0.884,0.839,0.951,0.898,0.845,0 days 01:49:36.189000,4,cfg/18.cfg,['R' 'G' 'B' 'NDVI'],train_set_dim64_rgb_ndvi_ndwi_nir
aggregate_model_20170529-073455.h5,JAGG_2,0.885,0.949,0.889,0.8,0.961,0.934,0.879,0 days 01:04:29.845000,4,cfg/19.cfg,['R' 'G' 'B' 'NDVI'],train_set_dim64_rgb_ndvi_ndwi_nir
aggregate_model_20170529-224757.h5,JAGG_2,0.897,0.954,0.906,0.811,0.955,0.917,0.843,0 days 01:26:51.995000,4,cfg/19_1.cfg,['R' 'G' 'B' 'NDVI'],train_set_dim64_rgb_ndvi_ndwi_nir
aggregate_model_20170530-001903.h5,JAGG_2,0.893,0.95,0.894,0.802,0.948,0.904,0.801,0 days 00:54:56.284000,4,cfg/19_2.cfg,['R' 'G' 'B' 'NDVI'],train_set_dim64_rgb_ndvi_ndwi_nir
aggregate_model_20170530-011748.h5,JAGG_2,0.901,0.955,0.919,0.808,0.953,0.909,0.814,0 days 01:24:58.887000,4,cfg/19_3.cfg,['R' 'G' 'B' 'NDVI'],train_set_dim64_rgb_ndvi_ndwi_nir
aggregate_model_20170603-093953.h5,JAGG_2,0.9,0.955,0.909,0.814,0.955,0.908,0.815,0 days 01:28:10.576000,4,cfg/20.cfg,['R' 'G' 'B' 'NDVI'],train_set_dim64_rgb_ndvi_ndwi_nir_align
aggregate_model_20170603-121748.h5,JAGG_2,0.896,0.952,0.887,0.821,0.952,0.901,0.803,0 days 01:15:30.457000,3,cfg/20_1.cfg,['R' 'G' 'B'],train_set_dim64_rgb_ndvi_ndwi_nir_align
aggregate_model_20170603-213444.h5,JAGG_2,0.902,0.956,0.902,0.83,0.955,0.908,0.817,0 days 01:36:37.574000,4,cfg/20_2.cfg,['R' 'G' 'B' 'NDWI'],train_set_dim64_rgb_ndvi_ndwi_nir_align
aggregate_model_20170603-232026.h5,JAGG_2,0.904,0.957,0.904,0.833,0.957,0.912,0.826,0 days 01:57:00.755000,4,cfg/20_2.cfg,['R' 'G' 'B' 'NDWI'],train_set_dim64_rgb_ndvi_ndwi_nir_align
aggregate_model_20170610-232417.h5,JAGG_2,0.868,0.942,0.895,0.742,0.94,0.89,0.735,0 days 00:21:42.569000,3,cfg/11_rgb.cfg,['R' 'G' 'B'],train_set_dim64_rgb_ndvi_ndwi_nir_align_v2
aggregate_model_20170610-234645.h5,JAGG_2,0.876,0.944,0.882,0.769,0.945,0.895,0.764,0 days 00:41:40.098000,4,cfg/11_ndwi.cfg,['R' 'G' 'B' 'NDWI'],train_set_dim64_rgb_ndvi_ndwi_nir_align_v2
aggregate_model_20170611-002913.h5,JAGG_2,0.881,0.946,0.897,0.768,0.944,0.894,0.759,0 days 00:37:31.809000,4,cfg/11.cfg,['R' 'G' 'B' 'NDVI'],train_set_dim64_rgb_ndvi_ndwi_nir_align_v2
aggregate_model_20170611-010724.h5,JAGG_2,0.885,0.947,0.876,0.798,0.949,0.898,0.786,0 days 00:59:10.321000,4,cfg/11_nir.cfg,['R' 'G' 'B' 'NIR'],train_set_dim64_rgb_ndvi_ndwi_nir_align_v2
aggregate_model_20170611-065517.h5,JAGG_2,0.895,0.952,0.913,0.79,0.949,0.902,0.785,0 days 00:52:00.183000,4,cfg/11.cfg,['R' 'G' 'B' 'NDVI'],train_set_dim64_rgb_ndvi_ndwi_nir_align
aggregate_model_20170611-152822.h5,JAGG_2,0.883,0.945,0.885,0.776,0.947,0.899,0.776,0 days 00:36:06.929000,3,cfg/11_rgb.cfg,['R' 'G' 'B'],train_set_dim64_rgb_ndvi_ndwi_nir_align_v3.h5
aggregate_model_20170612-160203.h5,JAGG_2,0.884,0.947,0.897,0.778,0.947,0.898,0.777,0 days 00:57:11.955000,4,cfg/11_ndwi.cfg,['R' 'G' 'B' 'NDWI'],train_set_dim64_rgb_ndvi_ndwi_nir_align_v3.h5
aggregate_model_20170612-170254.h5,JAGG_2,0.867,0.941,0.887,0.75,0.949,0.899,0.787,0 days 01:09:32.859000,4,cfg/11.cfg,['R' 'G' 'B' 'NDVI'],train_set_dim64_rgb_ndvi_ndwi_nir_align_v3.h5
aggregate_model_20170612-181602.h5,JAGG_2,0.899,0.953,0.915,0.796,0.952,0.903,0.801,0 days 01:31:02.199000,4,cfg/11_nir.cfg,['R' 'G' 'B' 'NIR'],train_set_dim64_rgb_ndvi_ndwi_nir_align_v3.h5
aggregate_model_20170615-225838.h5,JAGG_2,0.882,0.947,0.897,0.777,0.946,0.898,0.771,0 days 00:46:10.272000,3,cfg/11_decay_small.cfg,['R' 'G' 'B'],train_set_dim64_rgb_ndvi_ndwi_nir_align_v3.h5
aggregate_model_20170615-234944.h5,JAGG_2,0.851,0.937,0.88,0.728,0.935,0.874,0.719,0 days 00:49:50.618000,3,cfg/11_decay_med.cfg,['R' 'G' 'B'],train_set_dim64_rgb_ndvi_ndwi_nir_align_v3.h5
aggregate_model_20170616-004222.h5,JAGG_2,0.789,0.92,0.861,0.628,0.914,0.823,0.627,0 days 03:10:55.379000,3,cfg/11_decay_large.cfg,['R' 'G' 'B'],train_set_dim64_rgb_ndvi_ndwi_nir_align_v3.h5
aggregate_model_20170616-072740.h5,JAGG_2,0.883,0.947,0.897,0.776,0.946,0.896,0.769,0 days 00:39:16.670000,3,cfg/11_decay_smaller.cfg,['R' 'G' 'B'],train_set_dim64_rgb_ndvi_ndwi_nir_align_v3.h5
aggregate_model_20170616-081024.h5,JAGG_2,0.867,0.942,0.904,0.731,0.942,0.89,0.749,0 days 00:19:17.242000,3,cfg/11_decay_smallest.cfg,['R' 'G' 'B'],train_set_dim64_rgb_ndvi_ndwi_nir_align_v3.h5
aggregate_model_20170617-232100.h5,JAGG_2,0.885,0.948,0.907,0.77,0.947,0.901,0.773,0 days 00:46:09.920000,3,cfg/default.cfg,['R' 'G' 'B'],train_set_dim64_rgb_ndvi_ndwi_nir_align_v3.h5
